model,year,region,color,fuel_type,transmission,engine_size_l,mileage_km,price_usd,sales_volume
5 Series,2022,North America,Blue,Petrol,Automatic,4.5,10991,113265,6994
X3,2024,Middle East,Blue,Petrol,Automatic,1.7,27255,60971,4047
7 Series,2020,South America,Black,Diesel,Manual,2.1,122131,49898,3080
i8,2022,Europe,White,Diesel,Manual,1.8,196741,55064,7949
7 Series,2020,North America,Silver,Diesel,Automatic,3.8,27403,100015,8111
5 Series,2020,Africa,White,Electric,Manual,2.3,163444,119486,4668
X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527,6273
X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370,4645
M5,2021,Asia,Red,Hybrid,Automatic,3.0,105162,32076,9469
i8,2021,South America,Silver,Diesel,Manual,4.8,3188,64577,448
X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432,4926
M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240,4561
M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748,3929
X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401,7110
i3,2024,Middle East,Red,Petrol,Automatic,3.5,135958,69578,173
X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278,2913
X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256,7627
X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675,2155
i8,2023,Europe,Blue,Diesel,Automatic,3.8,78573,118317,7168
i3,2023,North America,Silver,Petrol,Automatic,4.9,94453,79039,8283
5 Series,2024,Asia,Blue,Electric,Manual,3.7,157789,86855,648
X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542,7933
X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692,6782
3 Series,2021,North America,Black,Hybrid,Automatic,3.9,87632,65089,660
3 Series,2023,Europe,Black,Electric,Manual,2.8,128295,86402,4266
i3,2021,South America,Red,Electric,Manual,4.6,107985,43355,945
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,4289
i3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,3748
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,5759
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,9420
