iter	Passed	Remaining
0	4	3260
1	10	4001
2	15	4096
3	20	4161
4	27	4367
5	32	4305
6	36	4151
7	41	4148
8	45	4007
9	53	4216
10	60	4318
11	66	4346
12	71	4312
13	76	4308
14	82	4322
15	88	4316
16	94	4372
17	100	4367
18	106	4389
19	112	4372
20	117	4362
21	123	4385
22	129	4368
23	134	4363
24	140	4363
25	147	4380
26	154	4424
27	160	4412
28	165	4399
29	169	4343
30	177	4393
31	183	4403
32	188	4389
33	194	4384
34	200	4393
35	207	4409
36	213	4404
37	218	4388
38	224	4376
39	228	4339
40	233	4323
41	238	4311
42	244	4301
43	250	4301
44	256	4300
45	262	4305
46	267	4292
47	272	4274
48	278	4265
49	282	4233
50	287	4226
51	293	4214
52	297	4197
53	301	4162
54	306	4151
55	311	4140
56	317	4133
57	322	4121
58	327	4112
59	333	4109
60	338	4099
61	343	4088
62	348	4081
63	354	4081
64	359	4070
65	365	4061
66	370	4053
67	377	4060
68	383	4060
69	389	4060
70	394	4054
71	401	4064
72	406	4048
73	411	4034
74	417	4031
75	423	4035
76	429	4035
77	437	4045
78	442	4042
79	448	4032
80	455	4040
81	460	4027
82	465	4022
83	472	4027
84	478	4025
85	483	4015
86	487	3994
87	493	3990
88	498	3984
89	506	3998
90	511	3986
91	517	3982
92	523	3979
93	529	3978
94	535	3975
95	541	3973
96	547	3970
97	552	3959
98	557	3948
99	561	3933
100	567	3924
101	572	3915
102	577	3906
103	583	3905
104	588	3896
105	596	3906
106	602	3901
107	610	3909
108	615	3899
109	620	3891
110	627	3894
111	632	3886
112	638	3881
113	645	3884
114	652	3887
115	659	3890
116	666	3888
117	671	3880
118	676	3871
119	681	3862
120	686	3852
121	691	3844
122	698	3842
123	700	3817
124	706	3812
125	713	3814
126	719	3812
127	727	3816
128	734	3818
129	740	3818
130	747	3816
131	755	3822
132	762	3823
133	769	3823
134	773	3809
135	780	3808
136	786	3807
137	792	3802
138	798	3794
139	804	3793
140	810	3788
141	816	3784
142	823	3783
143	831	3786
144	837	3782
145	843	3779
146	850	3776
147	853	3762
148	858	3751
149	864	3745
150	870	3739
151	874	3730
152	880	3725
153	886	3718
154	892	3712
155	897	3706
156	903	3698
157	908	3691
158	914	3685
159	919	3678
160	925	3671
161	930	3662
162	937	3662
163	943	3658
164	948	3649
165	955	3649
166	961	3642
167	966	3636
168	972	3630
169	978	3626
170	984	3621
171	990	3615
172	995	3609
173	1001	3602
174	1006	3593
175	1011	3587
176	1018	3584
177	1024	3579
178	1029	3571
179	1034	3564
180	1039	3555
181	1045	3549
182	1051	3543
183	1056	3537
184	1062	3530
185	1068	3526
186	1074	3520
