iter	RMSE
0	5577.144689
1	5443.704086
2	5302.941849
3	5161.655107
4	5036.144611
5	4910.165196
6	4778.63133
7	4644.848364
8	4531.728827
9	4433.173435
10	4329.828082
11	4220.845396
12	4120.757808
13	4020.574312
14	3929.854354
15	3831.718399
16	3749.942369
17	3677.924175
18	3587.654737
19	3514.214661
20	3434.244661
21	3357.07056
22	3287.499904
23	3218.69752
24	3156.953059
25	3085.973192
26	3018.067072
27	2958.76237
28	2895.96117
29	2833.906392
30	2780.128878
31	2727.040143
32	2677.245729
33	2620.259343
34	2570.69431
35	2525.543871
36	2477.971559
37	2432.664747
38	2391.072866
39	2353.752363
40	2312.075905
41	2271.298262
42	2234.451975
43	2197.2113
44	2164.873242
45	2123.662278
46	2087.355193
47	2049.126537
48	2024.842281
49	1991.292514
50	1955.377166
51	1922.590184
52	1891.481202
53	1860.412366
54	1831.383707
55	1810.241047
56	1781.587473
57	1749.174984
58	1720.64457
59	1695.498314
60	1669.882434
61	1643.413438
62	1616.721148
63	1589.871904
64	1567.844843
65	1550.825232
66	1527.141605
67	1507.101423
68	1495.129491
69	1470.562
70	1451.644212
71	1431.640774
72	1419.670979
73	1401.904933
74	1386.109493
75	1369.177614
76	1350.597926
77	1332.696847
78	1315.4162
79	1299.29036
80	1284.796817
81	1270.017431
82	1254.940967
83	1236.801936
84	1221.701101
85	1210.164809
86	1194.36819
87	1180.3723
88	1168.99094
89	1158.069306
90	1145.516253
91	1139.491144
92	1132.819413
93	1120.211027
94	1107.977611
95	1097.851282
96	1085.829592
97	1072.696158
98	1062.497395
99	1057.67525
100	1044.632322
101	1033.713183
102	1021.217008
103	1009.713393
104	997.9348019
105	987.1905365
106	976.4827621
107	965.1431736
108	955.3771898
109	945.4178928
110	935.3872835
111	925.4842163
112	917.5536421
113	907.4381923
114	900.2133924
115	893.0626139
116	883.2434953
117	877.4646523
118	867.933102
119	862.9436564
120	854.9498731
121	846.8192233
122	839.0036374
123	835.1442829
124	829.7101984
125	820.450465
126	813.1926731
127	807.5951214
128	801.3271121
129	793.7217123
130	785.9660474
131	778.5282178
132	770.1234478
133	764.7085904
134	759.5036402
135	753.3034405
136	748.7966456
137	744.2159994
138	738.0825324
139	734.3084521
140	727.1044591
141	723.2735503
142	718.4670128
143	715.6154071
144	710.1571971
145	705.8699647
146	701.5086774
147	695.7700957
148	690.4850132
149	684.8253996
150	678.3115125
151	672.3216065
152	667.5299894
153	663.3597604
154	658.9523115
155	654.4641445
156	650.1452888
157	646.9451385
158	643.1831751
159	639.1081961
160	634.6555051
161	629.8355057
162	624.9457008
163	622.1430954
164	617.6582125
165	613.3876146
166	609.0826742
167	604.8339531
168	600.5878697
169	597.4926226
170	593.4563461
171	588.9408926
172	585.0281458
173	582.2168033
174	580.5714486
175	576.4509744
176	572.2853257
177	569.3539063
178	566.9930864
179	564.7794064
180	560.8018147
181	557.3469061
182	553.96653
183	551.6144602
184	549.5649536
185	547.2869226
186	544.8963688
187	542.562723
188	538.5978378
189	537.0491277
190	533.5735568
191	531.88822
192	529.7315959
193	526.6552087
194	524.0966462
195	520.53122
196	516.905529
197	513.9541317
198	512.5337649
199	509.3913784
200	507.402339
201	504.7800727
202	502.0372907
203	498.6129766
204	496.2081358
205	493.3259154
206	491.7461781
207	489.4677873
208	487.1441147
209	485.3422377
210	483.2767918
211	482.2057426
212	478.5153284
213	475.9295682
214	474.5193731
215	472.753827
216	470.3711395
217	467.6745567
218	466.6888942
219	464.9127403
220	463.6392923
221	462.7886299
222	459.9685072
223	457.4149856
224	454.4569624
225	452.536324
226	450.8269222
227	448.9728094
228	446.5278352
229	444.8731469
230	443.2349393
231	441.4100595
232	439.7601171
233	438.2642164
234	435.808048
235	434.9027809
236	434.0495048
237	431.9147376
238	429.3241969
239	428.0499015
240	427.3503603
241	425.6773247
242	424.1001431
243	421.8790166
244	420.2000184
245	419.467205
246	417.92662
247	417.2449185
248	416.6461419
249	415.1522031
250	414.4637266
251	413.803094
252	411.96125
253	410.9801819
254	408.8766947
255	406.4299124
256	405.5335781
257	404.5237765
258	402.3234278
259	400.9073891
260	400.2987721
261	399.4296727
262	398.1698771
263	397.5536558
264	396.6929498
265	396.1595548
266	394.9475888
267	392.9888188
268	391.8164581
269	390.1167379
270	387.7828524
271	386.3639116
272	385.2736529
273	384.2689832
274	383.5898161
275	382.4381469
276	381.3657971
277	379.9663179
278	377.8337073
279	376.590653
280	376.0282756
281	375.1723445
282	374.7306642
283	373.2593988
284	371.8509998
285	370.5154316
286	369.0623959
287	367.8629388
288	366.5591969
289	365.6147585
290	364.9009026
291	364.107362
292	362.9074569
293	361.8850183
294	361.2092818
295	360.1156907
296	359.427589
297	359.0033779
298	358.2480074
299	357.5926702
300	355.7729469
301	355.0327147
302	353.8492529
303	352.9577771
304	351.1870947
305	349.2999253
306	348.2353968
307	346.9185355
308	345.9585708
309	344.9816299
310	344.3830394
311	343.165185
312	341.7970227
313	341.0610805
314	339.7809047
315	339.1320442
316	337.980719
317	336.8987599
318	335.5276739
319	334.5357083
320	333.8676686
321	333.2275669
322	332.6664121
323	331.7843224
324	330.2345949
325	328.8884022
326	328.1407731
327	327.4243048
328	326.8477051
329	326.0750542
330	325.5984497
331	324.9029934
332	324.0521755
333	322.5104806
334	321.6250609
335	321.0037641
336	319.8170998
337	318.8525896
338	317.7447492
339	316.7161396
340	315.885222
341	315.1786707
342	314.608597
343	313.9475044
344	313.2110474
345	312.6154988
346	311.8651774
347	311.0833533
348	310.4304648
349	309.4253496
350	308.647865
351	308.1275529
352	306.8398597
353	305.8592322
354	305.4418005
355	304.8248335
356	304.0952244
357	303.4640343
358	302.1703843
359	301.2834143
360	300.9172059
361	299.9546035
362	299.4147932
363	298.6715408
364	298.1156064
365	297.4903928
366	296.6936852
367	296.0814847
368	295.4085227
369	294.7177069
370	293.8601249
371	293.2132571
372	292.7428467
373	292.2239414
374	291.5742129
375	290.7803341
376	290.0578294
377	289.292368
378	288.640552
379	288.2072125
380	287.5842222
381	286.8554524
382	285.9651035
383	285.3382871
384	284.9421665
385	284.5910315
386	283.5308402
387	282.9113952
388	282.2696937
389	281.1642561
390	280.264515
391	279.6733662
392	278.9992011
393	278.1708443
394	277.6373222
395	276.8970593
396	276.1452629
397	275.4635371
398	274.7755617
399	273.9233362
400	273.4351606
401	272.7082613
402	272.1382148
403	271.7144298
404	271.0291556
405	270.4992277
406	269.7093321
407	269.1155669
408	268.6916314
409	267.9738091
410	267.5180472
411	266.9784482
412	266.2966633
413	265.7757091
414	265.4331583
415	264.8457592
416	264.1537488
417	263.6236668
418	263.1634296
419	262.8653976
420	262.1665388
421	261.4512284
422	260.5191461
423	260.1639425
424	259.5153231
425	259.018402
426	258.6708207
427	257.8656799
428	257.4892898
429	257.1292843
430	256.7380085
431	256.2991514
432	255.6845608
433	255.3244604
434	254.7693761
435	254.1081821
436	253.6872269
437	252.966602
438	252.5980591
439	252.074502
440	251.7815815
441	251.3386353
442	250.8952847
443	250.2586604
444	249.8972923
445	249.644041
446	249.0036168
447	248.4634492
448	247.9812586
449	247.6325484
450	247.3630494
451	246.9351756
452	246.4643385
453	245.9479846
454	245.2868747
455	244.9677087
456	244.6767491
457	244.2360255
458	243.5921557
459	243.0530478
460	242.2352938
461	241.9035466
462	241.4987889
463	241.237645
464	240.7928849
465	240.4001429
466	239.8106206
467	239.2139021
468	238.6667228
469	238.4866526
470	238.2533688
471	237.6547297
472	237.1110638
473	236.6070856
474	236.369778
475	235.8212672
476	235.3303164
477	234.9510606
478	234.6694882
479	234.3266772
480	233.9855545
481	233.6854855
482	233.3063082
483	232.7323812
484	232.3026877
485	232.0827612
486	231.5500033
487	231.1717574
488	230.9467123
489	230.6197377
490	230.3237627
491	229.8296493
492	229.5667588
493	229.0140357
494	228.6006706
495	228.2825753
496	227.9007616
497	227.4990116
498	227.1760276
499	226.799605
500	226.3861535
501	226.0535682
502	225.7636775
503	225.3306625
504	224.869586
505	224.5011171
506	224.3035971
507	223.8504847
508	223.3820674
509	223.0089054
510	222.7884522
511	222.4922356
512	222.109019
513	221.7455151
514	221.4405398
515	221.287853
516	221.1049473
517	220.6849539
518	220.3415793
519	220.0741751
520	219.8671244
521	219.3626727
522	219.0586982
523	218.8433638
524	218.6463488
525	218.2954576
526	217.8581592
527	217.4619063
528	217.3459998
529	217.0591864
530	216.8249021
531	216.4956212
532	216.1126045
533	215.786997
534	215.4303694
535	215.2058856
536	215.0245632
537	214.6361384
538	214.3554209
539	214.1727516
540	213.995974
541	213.5977433
542	213.3641144
543	213.0819586
544	212.8582056
545	212.3092678
546	211.9606954
547	211.6573021
548	211.3165844
549	210.9808284
550	210.7466254
551	210.3578493
552	210.0415381
553	209.9833552
554	209.7821557
555	209.4949977
556	208.9220236
557	208.7330584
558	208.4180346
559	207.8994186
560	207.6636709
561	207.3990533
562	207.1370837
563	206.9252049
564	206.7362328
565	206.5486817
566	206.1357413
567	205.8681821
568	205.5384445
569	205.2052921
570	204.7318648
571	204.5007424
572	204.0025569
573	203.6475292
574	203.3138228
575	203.0900746
576	202.7806835
577	202.5202991
578	202.1199264
579	201.5995043
580	201.2402725
581	200.9168486
582	200.4995812
583	200.1784433
584	199.6950063
585	199.3143317
586	198.9974339
587	198.7766049
588	198.4987575
589	198.2993265
590	198.118133
591	197.8835709
592	197.5395357
593	197.3274684
594	197.0494865
595	196.9117342
596	196.5736947
597	196.3563586
598	196.1818261
599	195.8151019
600	195.6067686
601	195.3102243
602	195.1094111
603	194.8397057
604	194.5694947
605	194.3100399
606	194.1591735
607	194.0238578
608	193.6394769
609	193.3379975
610	193.083731
611	192.901173
612	192.6416754
613	192.2384362
614	192.0297756
615	191.7133896
616	191.4553678
617	191.2701638
618	191.1247243
619	190.9340198
620	190.7414445
621	190.4527688
622	190.2516787
623	189.9724384
624	189.5765378
625	189.1985133
626	188.9446042
627	188.7211867
628	188.3401305
629	188.0377522
630	187.7893999
631	187.5377687
632	187.3242019
633	187.0200609
634	186.8436802
635	186.6580904
636	186.2619624
637	186.025605
638	185.8485703
639	185.5212659
640	185.2594851
641	185.0005292
642	184.679615
643	184.4032243
644	184.108003
645	183.9645305
646	183.7618596
647	183.6148437
648	183.4549739
649	183.2520597
650	182.9507033
651	182.6831418
652	182.4947959
653	182.1993745
654	181.858215
655	181.5654008
656	181.4421629
657	181.2884682
658	181.1275375
659	180.888141
660	180.7272341
661	180.5744653
662	180.3584918
663	180.1619588
664	179.9648334
665	179.6652908
666	179.4587449
667	179.1076137
668	178.8881362
669	178.6906718
670	178.6031114
671	178.4294008
672	178.3154622
673	178.1437903
674	177.9276246
675	177.669661
676	177.4835575
677	177.2016147
678	176.9573277
679	176.9236116
680	176.715931
681	176.4712051
682	176.280001
683	175.9273309
684	175.7088085
685	175.4863734
686	175.3297377
687	175.0960074
688	174.9309826
689	174.8033643
690	174.6055571
691	174.3254816
692	174.1405171
693	173.8785791
694	173.6762273
695	173.4416856
696	173.2941272
697	173.114847
698	172.8421286
699	172.7582145
700	172.5620016
701	172.2361772
702	172.0185511
703	171.8620219
704	171.5586816
705	171.3686139
706	171.2479269
707	171.0118123
708	170.7900641
709	170.4897515
710	170.3808519
711	170.1834024
712	169.9470738
713	169.6736355
714	169.5393564
715	169.3297653
716	169.1411572
717	168.8555313
718	168.6543069
719	168.4271182
720	168.21633
721	168.1099288
722	167.9385279
723	167.7106568
724	167.5000495
725	167.2823279
726	167.2154694
727	167.1067529
728	166.9257312
729	166.8486293
730	166.6438393
731	166.3958525
732	166.1255963
733	165.9878557
734	165.8665434
735	165.7790785
736	165.5532329
737	165.4064212
738	165.3476122
739	165.1659395
740	165.0028667
741	164.8867613
742	164.6276281
743	164.3619434
744	164.1297448
745	163.8649695
746	163.7244986
747	163.5017507
748	163.3683993
749	163.0767179
750	162.8832644
751	162.6162742
752	162.4228759
753	162.2163813
754	162.0896845
755	161.8460219
756	161.6491283
757	161.468028
758	161.2311858
759	161.1016369
760	160.9806221
761	160.8630457
762	160.7905056
763	160.6654379
764	160.594345
765	160.3758957
766	160.1784584
767	160.0101111
768	159.8586086
769	159.6055272
770	159.4651166
771	159.2195403
772	159.0405116
773	158.7578656
774	158.5098078
775	158.2115734
776	157.9591337
777	157.8134512
778	157.6437325
779	157.3972652
780	157.2501668
781	157.1455673
782	157.0443185
783	156.8944288
784	156.7350034
785	156.5645057
786	156.4276418
787	156.3365934
788	156.1597621
789	156.0439504
790	155.9850965
791	155.8844708
792	155.7420591
793	155.624927
794	155.3925702
795	155.2842035
796	155.0674918
797	154.8683951
798	154.7051654
799	154.5204718
