iter	Passed	Remaining
0	4	3538
1	7	3166
2	14	3789
3	21	4283
4	28	4497
5	35	4688
6	43	4913
7	50	4973
8	54	4756
9	60	4759
10	64	4632
11	72	4753
12	78	4769
13	85	4795
14	92	4824
15	98	4816
16	105	4843
17	109	4740
18	115	4746
19	122	4788
20	129	4791
21	146	5170
22	152	5158
23	158	5130
24	164	5108
25	168	5011
26	175	5017
27	181	5013
28	188	5023
29	195	5023
30	203	5037
31	210	5045
32	216	5040
33	223	5025
34	230	5044
35	238	5051
36	245	5054
37	251	5042
38	257	5026
39	262	4991
40	266	4939
41	272	4925
42	279	4924
43	287	4936
44	293	4924
45	299	4906
46	308	4948
47	315	4937
48	320	4919
49	327	4905
50	334	4906
51	340	4892
52	346	4884
53	353	4882
54	359	4874
55	366	4875
56	373	4871
57	380	4868
58	387	4863
59	393	4855
60	400	4852
61	407	4848
62	414	4849
63	421	4852
64	430	4868
65	438	4877
66	445	4876
67	452	4872
68	460	4880
69	466	4869
70	474	4870
71	481	4871
72	487	4852
73	495	4858
74	503	4868
75	512	4884
76	520	4886
77	529	4901
78	538	4916
79	545	4910
80	555	4932
81	560	4909
82	570	4924
83	576	4916
84	583	4905
85	592	4918
86	599	4912
87	605	4901
88	612	4896
89	621	4900
90	628	4893
91	635	4892
92	642	4883
93	648	4869
94	656	4869
95	663	4864
96	669	4850
97	676	4846
98	681	4823
99	685	4795
100	690	4780
101	696	4768
102	700	4739
103	707	4734
104	713	4722
105	719	4711
106	723	4684
107	729	4674
108	735	4663
109	742	4657
110	749	4650
111	755	4643
112	763	4638
113	769	4631
114	775	4620
115	781	4610
116	788	4604
117	796	4601
118	802	4593
119	809	4587
120	815	4578
121	822	4568
122	828	4559
123	832	4540
124	842	4546
125	851	4553
126	858	4550
127	865	4541
128	873	4543
129	879	4535
130	888	4537
131	895	4533
132	901	4522
133	908	4515
134	915	4509
135	925	4519
136	931	4509
137	939	4508
138	945	4495
139	951	4484
140	957	4474
141	963	4466
142	967	4445
143	974	4437
144	980	4427
145	986	4418
146	992	4411
147	999	4402
148	1006	4395
149	1010	4376
